Feature,Coefficient,Odds Ratio
age,0.5740362854992593,1.7754187054416175
sysBP,0.3041683045199364,1.355497173193573
cigsPerDay,0.2659922401906542,1.3047249342309077
male,0.21773843841904225,1.2432618355555576
glucose,0.16375402474380898,1.1779245391650344
totChol,0.10297559044227558,1.108464351621202
prevalentStroke,0.09328322329050247,1.0977726060127848
prevalentHyp,0.069323264377055,1.071782622295549
BPMeds,0.06547375156603834,1.0676647124189977
diabetes,0.021139488315987956,1.021364510117177
diaBP,0.01700855479000643,1.017154023827099
BMI,0.0045350791429138405,1.0045453781774234
education,0.0045018863040837435,1.0045120350179682
heartRate,-0.0285420018329645,0.9718614733256007
