Feature,Coefficient,Odds Ratio
age,0.5576592970639865,1.7465794881661783
sysBP,0.30368592421131413,1.3548434657293114
cigsPerDay,0.25084450278806253,1.2851102377348036
male,0.20828578766896355,1.2315650853747968
glucose,0.1575244970101232,1.1706094340616098
totChol,0.09147908942733154,1.0957938627757733
prevalentStroke,0.08813319968007495,1.0921335841842386
prevalentHyp,0.06511235330970416,1.0672789299683314
BPMeds,0.061324780676691955,1.0632441792804805
diabetes,0.01832255267114439,1.0184914405481367
diaBP,0.010265835350621273,1.0103187098169744
heartRate,-0.014947784064036487,0.985163379487997
